trail_name,feature_name,edge_uid,elastic_net_coefficient,abs_elastic_net_coefficient,screen_rank,n_train_months,train_pearson,abs_train_pearson,mean_trip_count,coefficient_rank
Ashokan High Point Trail,edge_514176298,514176298,0.40404072751573655,0.40404072751573655,35,43,0.8158756629605718,0.8158756629605718,105.81395348837209,61
Ashokan High Point Trail,edge_514176322,514176322,0.3854150976934296,0.3854150976934296,6,43,0.8395994209188596,0.8395994209188596,88.83720930232558,62
Ashokan High Point Trail,edge_511263813,511263813,0.38527603767049917,0.38527603767049917,76,43,0.7996344747729413,0.7996344747729413,234.53488372093022,63
Ashokan High Point Trail,edge_514200370,514200370,0.3792165292123185,0.3792165292123185,51,37,0.8094866541043989,0.8094866541043989,81.21621621621621,64
Ashokan High Point Trail,edge_511263806,511263806,0.37863695996915464,0.37863695996915464,99,43,0.7933139962245076,0.7933139962245076,234.41860465116278,65
Ashokan High Point Trail,edge_511264120,511264120,0.3755607559485159,0.3755607559485159,65,43,0.8039793556675214,0.8039793556675214,248.72093023255815,66
Ashokan High Point Trail,edge_514176300,514176300,0.3630972939249512,0.3630972939249512,42,43,0.8125332110773884,0.8125332110773884,105.93023255813954,67
Ashokan High Point Trail,edge_514176296,514176296,0.3572054938212857,0.3572054938212857,19,43,0.8237055435869376,0.8237055435869376,99.65116279069767,68
Ashokan High Point Trail,edge_513425584,513425584,0.352531462332127,0.352531462332127,14,43,0.8283320232585746,0.8283320232585746,230.11627906976744,69
Ashokan High Point Trail,edge_514176299,514176299,0.35029707225340045,0.35029707225340045,29,43,0.8174324251804826,0.8174324251804826,104.06976744186046,70
Ashokan High Point Trail,edge_514200369,514200369,0.3293532182198476,0.3293532182198476,71,37,0.8022353967376454,0.8022353967376454,83.91891891891892,71
Ashokan High Point Trail,edge_515092844,515092844,0.3112565843499476,0.3112565843499476,11,43,0.8330709934702245,0.8330709934702245,382.6744186046512,72
Ashokan High Point Trail,edge_515092855,515092855,0.3087958899604837,0.3087958899604837,23,43,0.8208125838530053,0.8208125838530053,379.5348837209302,73
Ashokan High Point Trail,edge_514200379,514200379,0.2860879646027574,0.2860879646027574,64,35,0.8040244704161313,0.8040244704161313,70.71428571428571,74
Ashokan High Point Trail,edge_514176349,514176349,0.2844146021292693,0.2844146021292693,47,41,0.8102817831819435,0.8102817831819435,78.04878048780488,75
Ashokan High Point Trail,edge_515092851,515092851,0.27576483664034407,0.27576483664034407,17,43,0.8255736991891837,0.8255736991891837,377.09302325581393,76
Ashokan High Point Trail,edge_515092856,515092856,0.27422714784956564,0.27422714784956564,44,43,0.8119279427405768,0.8119279427405768,382.6744186046512,77
Ashokan High Point Trail,edge_515092745,515092745,0.2339956226260019,0.2339956226260019,49,43,0.8096396539027175,0.8096396539027175,359.5348837209302,78
Ashokan High Point Trail,edge_514176303,514176303,0.23076186677625682,0.23076186677625682,87,41,0.797134100315803,0.797134100315803,102.5609756097561,79
Ashokan High Point Trail,edge_514176286,514176286,0.21077113463482103,0.21077113463482103,21,41,0.8222753372633128,0.8222753372633128,67.1951219512195,80
Ashokan High Point Trail,edge_515092849,515092849,0.20926001841994077,0.20926001841994077,18,43,0.8251237960337903,0.8251237960337903,372.6744186046512,81
