edge_uid,n_train_observed,n_train_months,train_pearson,abs_train_pearson,mean_trip_count,std_trip_count,min_trip_count,max_trip_count,trail_name,screen_rank
513729922,10,10,0.8903757989871504,0.8903757989871504,10.0,6.236095644623236,5.0,25.0,Pine Hill West Branch Trail,15
512949051,11,11,0.890251429842762,0.890251429842762,7.2727272727272725,3.437758254761643,5.0,15.0,Pine Hill West Branch Trail,16
513729921,11,11,0.8901795122308955,0.8901795122308955,10.0,5.916079783099616,5.0,25.0,Pine Hill West Branch Trail,17
514336095,10,10,0.8887515663186535,0.8887515663186535,6.5,2.41522945769824,5.0,10.0,Pine Hill West Branch Trail,18
511167419,12,12,0.8885409468558213,0.8885409468558213,7.083333333333333,3.3427896171076075,5.0,15.0,Pine Hill West Branch Trail,19
511069904,13,13,0.8879758588652813,0.8879758588652813,7.6923076923076925,4.385290096535146,5.0,20.0,Pine Hill West Branch Trail,20
514178065,11,11,0.8869969832633203,0.8869969832633203,10.0,7.745966692414834,5.0,30.0,Pine Hill West Branch Trail,21
513174029,11,11,0.8855618642915436,0.8855618642915436,7.7272727272727275,3.437758254761643,5.0,15.0,Pine Hill West Branch Trail,22
513965947,11,11,0.8853872899487806,0.8853872899487806,18.636363636363637,15.825755762507693,10.0,60.0,Pine Hill West Branch Trail,23
512700344,11,11,-0.8833048826223676,0.8833048826223676,7.7272727272727275,6.4666979068286325,5.0,25.0,Pine Hill West Branch Trail,24
515807617,10,10,-0.881874881445028,0.881874881445028,10.0,5.2704627669473,5.0,20.0,Pine Hill West Branch Trail,25
514083903,12,12,0.8803212942747692,0.8803212942747692,9.166666666666666,6.685579234215215,5.0,25.0,Pine Hill West Branch Trail,26
514057783,11,11,0.8791448446786505,0.8791448446786505,9.090909090909092,4.908249086070214,5.0,20.0,Pine Hill West Branch Trail,27
512938333,10,10,0.8789994076194081,0.8789994076194081,16.5,21.991159840060984,5.0,75.0,Pine Hill West Branch Trail,28
512715940,10,10,0.8783392946124212,0.8783392946124212,8.0,3.496029493900505,5.0,15.0,Pine Hill West Branch Trail,29
514926986,10,10,0.8781770899921456,0.8781770899921456,6.5,3.3747427885527643,5.0,15.0,Pine Hill West Branch Trail,30
