edge_uid,reported_months,mean_trips,std_trips,log_variance,max_trips
512403221,63,1270.3174603174602,4427.8648346994105,3.2923390852090986,23975.0
510760390,63,734.2063492063492,1685.402269955734,3.2751653008719477,8690.0
512413322,63,498.6507936507937,1222.4229662216485,3.2642753998615865,5710.0
512413236,63,502.3809523809524,1233.622993967054,3.2410402019448044,5740.0
510760561,63,341.6666666666667,428.1420852489163,3.2371779559948215,2355.0
510855555,63,1976.6666666666667,5357.608999688984,3.236865808977343,25520.0
512397529,63,1219.8412698412699,4241.783515663335,3.2358189161557336,23025.0
510997173,63,966.984126984127,2056.87116359167,3.2349551662668943,12930.0
510760181,63,885.3174603174604,1949.855841035242,3.2318172156008935,9900.0
510997207,63,1771.5873015873017,2814.200715237383,3.2253064193712175,18100.0
512397522,63,1220.6349206349207,4242.093356114016,3.2252048426661277,23030.0
512396808,63,1244.3650793650793,4350.397042694317,3.224690644093493,23300.0
510723026,63,690.3968253968254,618.0799494084297,3.214555740674593,1945.0
510971731,63,1339.5238095238096,1969.5100738192673,3.2038378651724573,11170.0
510997169,63,979.7619047619048,2080.2241714985034,3.199139421061109,13045.0
512413234,63,505.07936507936506,1243.203617890116,3.1946833984462506,5720.0
512391995,63,4968.809523809524,3868.7180833313414,3.178242136653969,23460.0
510998498,63,1220.079365079365,1170.1424961693879,3.1749483155138143,4310.0
510722870,63,1932.6190476190477,1959.763987012882,3.170265708477822,7375.0
512408782,63,531.031746031746,1306.0850632804595,3.169595082930072,6435.0
512408119,63,1197.5396825396826,3985.2709537762676,3.168099073915102,20010.0
512403123,63,1212.142857142857,4240.177236318277,3.1611580048406425,23270.0
512413229,63,511.1904761904762,1254.3253276761054,3.1586080191668082,5760.0
512396822,63,1237.7777777777778,4279.77725695808,3.158525106860418,23010.0
512408906,63,514.2063492063492,1236.030067474482,3.15515441927066,5555.0
512408784,63,531.3492063492064,1307.165489914553,3.1531404323801078,6420.0
512408222,63,540.4761904761905,1332.5353939152483,3.1460513521584357,6680.0
512413225,63,508.0952380952381,1243.1526742233118,3.1317201223561852,5720.0
512408918,63,513.4126984126984,1233.997185061366,3.1298198128256796,5545.0
512403761,63,1631.904761904762,5269.732228963532,3.1243339280836966,27150.0
512414466,63,1017.7777777777778,2665.121460915748,3.116576436796135,14885.0
510971726,63,1524.2857142857142,2123.142614666283,3.1102831770403805,11725.0
512397497,63,1246.111111111111,4249.841215671821,3.10627518728988,23030.0
510836299,63,684.1269841269841,2352.0457018550796,3.101932020776806,10210.0
512408110,63,1199.5238095238096,3980.900643180583,3.1000289943358785,19980.0
512408058,63,1298.7301587301588,4312.418392706487,3.096913745348755,22380.0
